codigo_ine,municipio,provincia,municipio_nombre_humano,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades
24057,Congosto,León,Congosto,4,0,0,0,0
34062,Congosto de Valdavia,Palencia,Congosto de Valdavia,2,0,0,0,0
19097,Congostrina,Guadalajara,Congostrina,1,0,0,0,0
11014,Conil de la Frontera,Cádiz,Conil de la Frontera,2,1,0,13,0
14020,Conquista,Córdoba,Conquista,1,0,0,1,0
10066,Conquista de la Sierra,Cáceres,Conquista de la Sierra,1,0,0,0,0
7016,Consell,Illes Balears,Consell,1,0,0,2,0
43047,Constantí,Tarragona,Constantí,1,1,0,6,0
41033,Constantina,Sevilla,Constantina,1,1,0,6,0
5064,Constanzana,Ávila,Constanzana,2,0,0,0,0
45053,Consuegra,Toledo,Consuegra,1,1,0,6,0
50087,Contamina,Zaragoza,Contamina,1,0,0,0,0
9110,Contreras,Burgos,Contreras,1,0,0,0,0
49052,Coomonte,Zamora,Coomonte,1,0,0,0,0
19098,Copernal,Guadalajara,Copernal,1,0,0,0,0
8071,Copons,Barcelona,Copons,1,0,0,1,0
44082,Corbalán,Teruel,Corbalán,1,0,0,0,0
46098,Corbera,Valencia,Corbera,1,0,0,2,0
43048,Corbera d'Ebre,Tarragona,Corbera d'Ebre,1,0,0,2,0
8072,Corbera de Llobregat,Barcelona,Corbera de Llobregat,1,1,0,11,0
24058,Corbillos de los Oteros,León,Corbillos de los Oteros,1,0,0,0,0
25078,Corbins,Lleida,Corbins,1,0,0,3,0
17057,Corçà,Girona,Corçà,1,0,0,2,0
47055,Corcos,Valladolid,Corcos,1,0,0,0,0
15028,Corcubión,A Coruña,Corcubión,1,0,0,1,0
14021,Córdoba,Córdoba,Córdoba,22,2,7,318,2
6038,Cordobilla de Lácara,Badajoz,Cordobilla de Lácara,1,1,0,1,0
37110,Cordovilla,Salamanca,Cordovilla,1,0,0,0,0
34063,Cordovilla la Real,Palencia,Cordovilla la Real,1,0,0,0,0
26052,Cordovín,La Rioja,Cordovín,1,0,0,0,0
19099,Corduente,Guadalajara,Corduente,9,0,0,1,0
31077,Corella,Navarra,Corella,1,1,0,4,0
26053,Corera,La Rioja,Corera,1,0,0,0,0
49053,Coreses,Zamora,Coreses,1,0,0,1,0
27014,Corgo (O),Lugo,O Corgo,1,1,0,40,0
10067,Coria,Cáceres,Coria,3,1,1,10,0
41034,Coria del Río,Sevilla,Coria del Río,2,1,1,22,0
41035,Coripe,Sevilla,Coripe,1,0,0,4,0
15029,Coristanco,A Coruña,Coristanco,2,0,0,503,0
26054,Cornago,La Rioja,Cornago,1,0,0,0,0
8073,Cornellà de Llobregat,Barcelona,Cornellà de Llobregat,6,1,1,41,0
17056,Cornellà del Terri,Girona,Cornellà del Terri,1,0,0,2,0
43049,Cornudella de Montsant,Tarragona,Cornudella de Montsant,1,1,0,4,0
6039,Coronada (La),Badajoz,La Coronada,1,0,0,1,0
41036,Coronil (El),Sevilla,El Coronil,1,1,0,4,0
28048,Corpa,Madrid,Corpa,1,0,0,1,0
26055,Corporales,La Rioja,Corporales,2,0,0,0,0
45054,Corral de Almaguer,Toledo,Corral de Almaguer,1,1,0,4,0
40061,Corral de Ayllón,Segovia,Corral de Ayllón,1,0,0,0,0
13035,Corral de Calatrava,Ciudad Real,Corral de Calatrava,1,1,0,1,0
2027,Corral-Rubio,Albacete,Corral-Rubio,2,0,0,0,0
41037,Corrales (Los),Sevilla,Los Corrales,1,0,0,0,0
39025,Corrales de Buelna (Los),Cantabria,Los Corrales de Buelna,1,1,0,0,0
47056,Corrales de Duero,Valladolid,Corrales de Duero,1,0,0,0,0
49054,Corrales del Vino,Zamora,Corrales del Vino,3,1,0,2,0
6040,Corte de Peleas,Badajoz,Corte de Peleas,1,0,0,1,0
21024,Corteconcepción,Huelva,Corteconcepción,1,0,0,1,0
32027,Cortegada,Ourense,Cortegada,1,0,0,0,0
21025,Cortegana,Huelva,Cortegana,4,1,0,1,0
21026,Cortelazor,Huelva,Cortelazor,1,0,0,0,0
31078,Cortes,Navarra,Cortes,1,0,0,0,0
44084,Cortes de Aragón,Teruel,Cortes de Aragón,1,0,0,0,0
12048,Cortes de Arenoso,Castellón,Cortes de Arenoso,2,0,0,1,0
