codigo_ine,municipio,provincia,municipio_nombre_humano,num_colegios,num_universidades
1001,Alegría-Dulantzi,Álava,Alegría-Dulantzi,3,0
43007,Aleixar (L'),Tarragona,L' Aleixar,0,0
8003,Alella,Barcelona,Alella,10,0
42015,Alentisque,Soria,Alentisque,0,0
22019,Alerre,Huesca,Alerre,0,0
26009,Alesanco,La Rioja,Alesanco,0,0
26010,Alesón,La Rioja,Alesón,0,0
18011,Alfacar,Granada,Alfacar,5,0
46022,Alfafar,Valencia,Alfafar,15,0
3010,Alfafara,Alicante,Alfafara,1,0
50017,Alfajarín,Zaragoza,Alfajarín,2,0
44016,Alfambra,Teruel,Alfambra,0,0
50018,Alfamén,Zaragoza,Alfamén,2,0
22020,Alfántega,Huesca,Alfántega,0,0
43008,Alfara de Carles,Tarragona,Alfara de Carles,1,0
46024,Alfara de la Baronia,Valencia,Alfara de la Baronia,1,0
46025,Alfara del Patriarca,Valencia,Alfara del Patriarca,7,1
49005,Alfaraz de Sayago,Zamora,Alfaraz de Sayago,0,0
29003,Alfarnate,Málaga,Alfarnate,3,0
29004,Alfarnatejo,Málaga,Alfarnatejo,0,0
26011,Alfaro,La Rioja,Alfaro,7,0
46026,Alfarp,Valencia,Alfarp,2,0
25013,Alfarràs,Lleida,Alfarràs,3,0
46027,Alfarrasí,Valencia,Alfarrasí,3,0
3011,Alfàs del Pi (L'),Alicante,L' Alfàs del Pi,0,0
46023,Alfauir,Valencia,Alfauir,0,0
25014,Alfés,Lleida,Alfés,1,0
12007,Alfondeguilla,Castellón,Alfondeguilla,1,0
43009,Alforja,Tarragona,Alforja,2,0
50019,Alforque,Zaragoza,Alforque,0,0
27002,Alfoz,Lugo,Alfoz,0,0
9011,Alfoz de Bricia,Burgos,Alfoz de Bricia,0,0
39001,Alfoz de Lloredo,Cantabria,Alfoz de Lloredo,0,0
9907,Alfoz de Quintanadueñas,Burgos,Alfoz de Quintanadueñas,0,0
9012,Alfoz de Santa Gadea,Burgos,Alfoz de Santa Gadea,0,0
41007,Algaba (La),Sevilla,La Algaba,15,0
24002,Algadefe,León,Algadefe,0,0
7004,Algaida,Illes Balears,Algaida,3,0
41008,Algámitas,Sevilla,Algámitas,3,0
11003,Algar,Cádiz,Algar,3,0
19016,Algar de Mesa,Guadalajara,Algar de Mesa,0,0
46028,Algar de Palancia,Valencia,Algar de Palancia,1,0
18012,Algarinejo,Granada,Algarinejo,3,0
16013,Algarra,Cuenca,Algarra,0,0
29005,Algarrobo,Málaga,Algarrobo,7,0
29006,Algatocín,Málaga,Algatocín,3,0
11004,Algeciras,Cádiz,Algeciras,78,1
46029,Algemesí,Valencia,Algemesí,27,0
25015,Algerri,Lleida,Algerri,1,0
28009,Algete,Madrid,Algete,16,0
46030,Algímia d'Alfara,Valencia,Algímia d'Alfara,0,0
12008,Algimia de Almonacid,Castellón,Algimia de Almonacid,0,0
46031,Alginet,Valencia,Alginet,11,0
11005,Algodonales,Cádiz,Algodonales,14,0
49006,Algodre,Zamora,Algodre,0,0
19017,Algora,Guadalajara,Algora,0,0
3012,Algorfa,Alicante,Algorfa,3,0
25016,Alguaire,Lleida,Alguaire,3,0
30007,Alguazas,Murcia,Alguazas,5,0
3013,Algueña,Alicante,Algueña,2,0
4010,Alhabia,Almería,Alhabia,1,0
4011,Alhama de Almería,Almería,Alhama de Almería,5,0
50020,Alhama de Aragón,Zaragoza,Alhama de Aragón,2,0
18013,Alhama de Granada,Granada,Alhama de Granada,5,0
30008,Alhama de Murcia,Murcia,Alhama de Murcia,15,0
13010,Alhambra,Ciudad Real,Alhambra,1,0
29007,Alhaurín de la Torre,Málaga,Alhaurín de la Torre,32,0
29008,Alhaurín el Grande,Málaga,Alhaurín el Grande,18,0
18014,Alhendín,Granada,Alhendín,7,0
19018,Alhóndiga,Guadalajara,Alhóndiga,0,0
10017,Alía,Cáceres,Alía,3,0
44017,Aliaga,Teruel,Aliaga,1,0
16014,Aliaguilla,Cuenca,Aliaguilla,0,0
3014,Alicante/Alacant,Alicante,Alicante/Alacant,177,1
4012,Alicún,Almería,Alicún,1,0
18015,Alicún de Ortega,Granada,Alicún de Ortega,1,0
24003,Alija del Infantado,León,Alija del Infantado,1,0
25017,Alins,Lleida,Alins,0,0
43010,Alió,Tarragona,Alió,1,0
19019,Alique,Guadalajara,Alique,0,0
10018,Aliseda,Cáceres,Aliseda,1,0
42016,Aliud,Soria,Aliud,0,0
21002,Aljaraque,Huelva,Aljaraque,12,0
6009,Aljucén,Badajoz,Aljucén,1,0
20006,Alkiza,Gipuzkoa,Alkiza,2,0
33001,Allande,Asturias,Allande,8,0
32001,Allariz,Ourense,Allariz,2,0
44021,Allepuz,Teruel,Allepuz,0,0
33002,Aller,Asturias,Aller,9,0
31011,Allín/Allin,Navarra,Allín/Allin,0,0
31012,Allo,Navarra,Allo,0,0
44022,Alloza,Teruel,Alloza,1,0
44023,Allueva,Teruel,Allueva,0,0
25019,Almacelles,Lleida,Almacelles,3,0
29009,Almáchar,Málaga,Almáchar,3,0
13011,Almadén,Ciudad Real,Almadén,6,1
41009,Almadén de la Plata,Sevilla,Almadén de la Plata,2,0
13012,Almadenejos,Ciudad Real,Almadenejos,0,0
19020,Almadrones,Guadalajara,Almadrones,0,0
13013,Almagro,Ciudad Real,Almagro,9,0
42017,Almajano,Soria,Almajano,0,0
42018,Almaluez,Soria,Almaluez,0,0
2009,Almansa,Albacete,Almansa,22,0
24004,Almanza,León,Almanza,0,0
10019,Almaraz,Cáceres,Almaraz,1,0
49007,Almaraz de Duero,Zamora,Almaraz de Duero,1,0
16015,Almarcha (La),Cuenca,La Almarcha,0,0
29010,Almargen,Málaga,Almargen,2,0
42019,Almarza,Soria,Almarza,2,0
26012,Almarza de Cameros,La Rioja,Almarza de Cameros,0,0
46032,Almàssera,Valencia,Almàssera,8,0
12009,Almassora,Castellón,Almassora,0,0
25020,Almatret,Lleida,Almatret,0,0
42020,Almazán,Soria,Almazán,9,0
42021,Almazul,Soria,Almazul,0,0
12010,Almedíjar,Castellón,Almedíjar,1,0
13014,Almedina,Ciudad Real,Almedina,0,0
14004,Almedinilla,Córdoba,Almedinilla,3,0
18016,Almegíjar,Granada,Almegíjar,0,0
49008,Almeida de Sayago,Zamora,Almeida de Sayago,1,0
25021,Almenar,Lleida,Almenar,4,0
42022,Almenar de Soria,Soria,Almenar de Soria,0,0
12011,Almenara,Castellón,Almenara,5,0
47008,Almenara de Adaja,Valladolid,Almenara de Adaja,0,0
37027,Almenara de Tormes,Salamanca,Almenara de Tormes,0,0
37028,Almendra,Salamanca,Almendra,0,0
6010,Almendral,Badajoz,Almendral,1,0
45011,Almendral de la Cañada,Toledo,Almendral de la Cañada,0,0
6011,Almendralejo,Badajoz,Almendralejo,20,1
21003,Almendro (El),Huelva,El Almendro,1,0
16016,Almendros,Cuenca,Almendros,0,0
41010,Almensilla,Sevilla,Almensilla,7,0
4013,Almería,Almería,Almería,193,1
46033,Almiserà,Valencia,Almiserà,0,0
50021,Almochuel,Zaragoza,Almochuel,0,0
4014,Almócita,Almería,Almócita,0,0
13015,Almodóvar del Campo,Ciudad Real,Almodóvar del Campo,6,0
