municipio,provincia,codigo_ine,num_universidades
Añora,Córdoba,14006,0
Añorbe,Navarra,31018,0
Añover de Tajo,Toledo,45014,0
Añover de Tormes,Salamanca,37030,0
Aoiz/Agoitz,Navarra,31019,0
Arabayona de Mógica,Salamanca,37031,0
Aracena,Huelva,21007,0
Arafo,Santa Cruz de Tenerife,38004,0
Aragüés del Puerto,Huesca,22032,0
Arahal,Sevilla,41011,0
Arahuetes,Segovia,40019,0
Araitz,Navarra,31020,0
Arakaldo,Bizkaia,48005,0
Arakil,Navarra,31025,0
Arama,Gipuzkoa,20012,0
Aramaio,Álava,1003,0
Aranarache/Aranaratxe,Navarra,31021,0
Arancón,Soria,42024,0
Aranda de Duero,Burgos,9018,0
Aranda de Moncayo,Zaragoza,50031,0
Arándiga,Zaragoza,50032,0
Arandilla,Burgos,9019,0
Arandilla del Arroyo,Cuenca,16020,0
Aranga,A Coruña,15003,0
Aranguren,Navarra,31023,0
Aranjuez,Madrid,28013,3
Arano,Navarra,31024,0
Arantza,Navarra,31022,0
Arantzazu,Bizkaia,48006,0
Aranzueque,Guadalajara,19036,0
Arañuel,Castellón,12013,0
Arapiles,Salamanca,37032,0
Aras,Navarra,31026,0
Aras de los Olmos,Valencia,46041,0
Arauzo de Miel,Burgos,9020,0
Arauzo de Salce,Burgos,9021,0
Arauzo de Torre,Burgos,9022,0
Arbancón,Guadalajara,19037,0
Arbeca,Lleida,25029,0
Arbeteta,Guadalajara,19038,0
Arbizu,Navarra,31027,0
Arbo,Pontevedra,36001,0
Arboç (L'),Tarragona,43016,0
Arboleas,Almería,4017,0
Arbolí,Tarragona,43015,0
Arbúcies,Girona,17009,0
Arcas,Cuenca,16905,0
Arce/Artzi,Navarra,31028,0
Arcediano,Salamanca,37033,0
Arcenillas,Zamora,49010,0
Archena,Murcia,30009,0
Árchez,Málaga,29016,0
Archidona,Málaga,29017,0
Arcicóllar,Toledo,45015,0
Arco (El),Salamanca,37034,0
Arconada,Palencia,34015,0
Arcones,Segovia,40020,0
Arcos,Burgos,9023,0
Arcos (Los),Navarra,31029,0
Arcos de Jalón,Soria,42025,0
Arcos de la Frontera,Cádiz,11006,0
Arcos de la Polvorosa,Zamora,49011,0
Arcos de la Sierra,Cuenca,16022,0
Arcos de las Salinas,Teruel,44026,0
Ardales,Málaga,29018,0
Ardisa,Zaragoza,50033,0
Ardón,León,24006,0
Areatza,Bizkaia,48093,0
Arellano,Navarra,31030,0
Arén,Huesca,22035,0
Arenal (El),Ávila,5013,0
Arenales de San Gregorio,Ciudad Real,13903,0
Arenas,Málaga,29019,0
Arenas de Iguña,Cantabria,39004,0
Arenas de San Juan,Ciudad Real,13018,0
Arenas de San Pedro,Ávila,5014,0
Arenas del Rey,Granada,18020,0
Arenillas,Soria,42026,0
Arenillas de Riopisuerga,Burgos,9024,0
Arens de Lledó,Teruel,44027,0
Arenys de Mar,Barcelona,8006,0
Arenys de Munt,Barcelona,8007,0
Arenzana de Abajo,La Rioja,26015,0
Arenzana de Arriba,La Rioja,26016,0
Ares,A Coruña,15004,0
Ares del Maestrat,Castellón,12014,0
Areso,Navarra,31031,0
Aretxabaleta,Gipuzkoa,20013,0
Arevalillo,Ávila,5015,0
Arevalillo de Cega,Segovia,40021,0
Arévalo,Ávila,5016,0
Arévalo de la Sierra,Soria,42027,0
Argamasilla de Alba,Ciudad Real,13019,0
Argamasilla de Calatrava,Ciudad Real,13020,0
Arganda del Rey,Madrid,28014,0
Arganza,León,24007,0
Argañín,Zamora,49012,0
Argavieso,Huesca,22036,0
Argecilla,Guadalajara,19039,0
Argelaguer,Girona,17010,0
Argelita,Castellón,12015,0
Argençola,Barcelona,8008,0
Argente,Teruel,44028,0
Argentera (L'),Tarragona,43017,0
Argentona,Barcelona,8009,0
Argés,Toledo,45016,0
Argoños,Cantabria,39005,0
Arguedas,Navarra,31032,0
Arguis,Huesca,22037,0
Arguisuelas,Cuenca,16024,0
Argujillo,Zamora,49013,0
Aria,Navarra,31033,0
Ariany,Illes Balears,7901,0
Aribe,Navarra,31034,0
Arico,Santa Cruz de Tenerife,38005,0
Arija,Burgos,9025,0
Ariño,Teruel,44029,0
Ariza,Zaragoza,50034,0
Arjona,Jaén,23006,0
Arjonilla,Jaén,23007,0
Arlanzón,Burgos,9026,0
Armallones,Guadalajara,19040,0
Armañanzas,Navarra,31035,0
Armentera (L'),Girona,17011,0
Armenteros,Salamanca,37035,0
Armilla,Granada,18021,0
Armiñón,Álava,1006,0
Armuña,Segovia,40022,0
Armuña de Almanzora,Almería,4018,0
Armuña de Tajuña,Guadalajara,19041,0
Arnedillo,La Rioja,26017,0
Arnedo,La Rioja,26018,0
Arnes,Tarragona,43018,0
Arnoia (A),Ourense,32003,0
Arnuero,Cantabria,39006,0
Aroche,Huelva,21008,0
Arona,Santa Cruz de Tenerife,38006,0
Arquillinos,Zamora,49014,0
Arquillos,Jaén,23008,0
Arrabalde,Zamora,49015,0
Arraia-Maeztu,Álava,1037,0
Arrancacepas,Cuenca,16025,0
Arrankudiaga,Bizkaia,48009,0
Arrasate/Mondragón,Gipuzkoa,20055,1
Arratzu,Bizkaia,48914,0
Arratzua-Ubarrundia,Álava,1008,0
