municipio,provincia,municipio_nombre_humano,poblacion,superficie,densidad_poblacion
Alcoba,Ciudad Real,Alcoba,540,307.0970,1.75840206840184
Alcobendas,Madrid,Alcobendas,116589,44.9814,2591.93800104043
Alcocer,Guadalajara,Alcocer,326,61.1930,5.32740672952789
Alcocer de Planes,Alicante,Alcocer de Planes,243,4.3872,55.3884026258206
Alcocero de Mola,Burgos,Alcocero de Mola,33,8.3340,3.95968322534197
Alcohujate,Cuenca,Alcohujate,29,27.2900,1.06266031513375
Alcolea,Almería,Alcolea,849,67.5167,12.5746667120875
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,1363,70.7,19.2786421499293
Alcolea de Cinca,Huesca,Alcolea de Cinca,1200,83.2408,14.4160075347666
Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas,16,16.6564,0.960591724502293
Alcolea de Tajo,Toledo,Alcolea de Tajo,843,64.4740,13.0750379998139
Alcolea del Pinar,Guadalajara,Alcolea del Pinar,326,113.346,2.876149136273
Alcolea del Río,Sevilla,Alcolea del Río,3348,50.17,66.7331074347219
Alcoleja,Alicante,Alcoleja,181,14.5588,12.4323433249993
Alcoletge,Lleida,Alcoletge,3492,16.55,210.996978851964
Alcollarín,Cáceres,Alcollarín,279,79.9159,3.4911700925598
Alconaba,Soria,Alconaba,196,52.4527,3.73669992202499
Alconada,Salamanca,Alconada,144,21.2552,6.77481275170311
Alconada de Maderuelo,Segovia,Alconada de Maderuelo,22,12.0712,1.82251971634966
Alconchel,Badajoz,Alconchel,1654,294.9461,5.60780427339097
Alconchel de Ariza,Zaragoza,Alconchel de Ariza,79,34.8512,2.26677991001745
Alconchel de la Estrella,Cuenca,Alconchel de la Estrella,86,42.9418,2.00271064557145
Alconera,Badajoz,Alconera,744,32.713,22.7432519181977
Alcóntar,Almería,Alcóntar,542,93.9067,5.77168615231927
Alcora (l'),Castellón,L' Alcora,10428,95.18,109.560832107586
Alcorcón,Madrid,Alcorcón,170817,33.7323,5063.90017876042
Alcorisa,Teruel,Alcorisa,3293,121.1992,27.1701463375996
Alcoroches,Guadalajara,Alcoroches,128,32.2474,3.96931225463138
Alcover,Tarragona,Alcover,5185,46.26,112.083873757026
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,59128,129.8605,455.319361930687
Alcubierre,Huesca,Alcubierre,372,115.31,3.22608620241089
Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda,116,60.5638,1.91533556348842
Alcubilla de las Peñas,Soria,Alcubilla de las Peñas,51,86.0639,0.592582952898951
Alcubilla de Nogales,Zamora,Alcubilla de Nogales,117,13.6748,8.55588381548542
Alcubillas,Ciudad Real,Alcubillas,466,47.4610,9.81858789321759
Alcublas,Valencia,Alcublas,610,43.47,14.0326662065793
Alcúdia,Illes Balears,Alcúdia,20651,60.0172,344.08469572056
Alcúdia (l'),Valencia,L' Alcúdia,12193,23.6674,515.181219736853
Alcúdia de Crespins (l'),Valencia,L' Alcúdia de Crespins,5144,5.2,989.230769230769
Alcudia de Monteagud,Almería,Alcudia de Monteagud,129,15.52,8.31185567010309
Alcudia de Veo,Castellón,Alcudia de Veo,196,30.6579,6.39313194967692
Alcuéscar,Cáceres,Alcuéscar,2486,108.61,22.8892367185342
Aldaia,Valencia,Aldaia,32313,16.0511,2013.13305630144
Aldea (L'),Tarragona,L' Aldea,4160,30.20,137.748344370861
Aldea de San Miguel,Valladolid,Aldea de San Miguel,217,19.925,10.8908406524467
Aldea de San Nicolás (La),Las Palmas,La Aldea de San Nicolás,7516,123.71,60.7549915124081
Aldea del Cano,Cáceres,Aldea del Cano,610,28.6904,21.2614672503695
Aldea del Fresno,Madrid,Aldea del Fresno,3085,51.7841,59.5742708669263
Aldea del Obispo,Salamanca,Aldea del Obispo,252,41.919,6.01159378801975
Aldea del Obispo (La),Cáceres,La Aldea del Obispo,299,37.8470,7.90022987290935
Aldea del Rey,Ciudad Real,Aldea del Rey,1598,154.32,10.3551062726801
Aldea en Cabo,Toledo,Aldea en Cabo,179,25.4988,7.01993819316987
Aldea Real,Segovia,Aldea Real,281,25.2803,11.1153744219808
Aldeacentenera,Cáceres,Aldeacentenera,568,110.5624,5.13737038993365
Aldeacipreste,Salamanca,Aldeacipreste,100,37.1683,2.69046472397177
Aldeadávila de la Ribera,Salamanca,Aldeadávila de la Ribera,1181,46.1844,25.5714050631815
Aldealafuente,Soria,Aldealafuente,86,45.7242,1.88084209237122
Aldealcorvo,Segovia,Aldealcorvo,19,6.0758,3.12716020935515
Aldealengua,Salamanca,Aldealengua,673,5.4774,122.86851425859
Aldealengua de Pedraza,Segovia,Aldealengua de Pedraza,80,35.2,2.27272727272727
Aldealengua de Santa María,Segovia,Aldealengua de Santa María,61,19.7305,3.0916601201186
Aldealices,Soria,Aldealices,29,6.3253,4.58476277805005
Aldealpozo,Soria,Aldealpozo,17,11.8669,1.43255610142497
Aldealseñor,Soria,Aldealseñor,32,9.2941,3.44304451210983
Aldeamayor de San Martín,Valladolid,Aldeamayor de San Martín,5789,53.5647,108.074907541721
Aldeanueva de Barbarroya,Toledo,Aldeanueva de Barbarroya,495,91.800,5.3921568627451
Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro,2794,39.0832,71.4885168051746
Aldeanueva de Figueroa,Salamanca,Aldeanueva de Figueroa,244,55.6374,4.38553922361577
Aldeanueva de Guadalajara,Guadalajara,Aldeanueva de Guadalajara,99,16.1,6.14906832298137
