codigo_ine,municipio,provincia,municipio_nombre_humano
37027,Almenara de Tormes,Salamanca,Almenara de Tormes
37028,Almendra,Salamanca,Almendra
06010,Almendral,Badajoz,Almendral
45011,Almendral de la Cañada,Toledo,Almendral de la Cañada
06011,Almendralejo,Badajoz,Almendralejo
21003,Almendro (El),Huelva,El Almendro
16016,Almendros,Cuenca,Almendros
41010,Almensilla,Sevilla,Almensilla
04013,Almería,Almería,Almería
46033,Almiserà,Valencia,Almiserà
50021,Almochuel,Zaragoza,Almochuel
04014,Almócita,Almería,Almócita
13015,Almodóvar del Campo,Ciudad Real,Almodóvar del Campo
16017,Almodóvar del Pinar,Cuenca,Almodóvar del Pinar
14005,Almodóvar del Río,Córdoba,Almodóvar del Río
29011,Almogía,Málaga,Almogía
19021,Almoguera,Guadalajara,Almoguera
44018,Almohaja,Teruel,Almohaja
10020,Almoharín,Cáceres,Almoharín
46034,Almoines,Valencia,Almoines
50022,Almolda (La),Zaragoza,La Almolda
50023,Almonacid de la Cuba,Zaragoza,Almonacid de la Cuba
50024,Almonacid de la Sierra,Zaragoza,Almonacid de la Sierra
45012,Almonacid de Toledo,Toledo,Almonacid de Toledo
19022,Almonacid de Zorita,Guadalajara,Almonacid de Zorita
16018,Almonacid del Marquesado,Cuenca,Almonacid del Marquesado
21004,Almonaster la Real,Huelva,Almonaster la Real
21005,Almonte,Huelva,Almonte
03015,Almoradí,Alicante,Almoradí
45013,Almorox,Toledo,Almorox
43011,Almoster,Tarragona,Almoster
03016,Almudaina,Alicante,Almudaina
22021,Almudévar,Huesca,Almudévar
50025,Almunia de Doña Godina (La),Zaragoza,La Almunia de Doña Godina
22022,Almunia de San Juan,Huesca,Almunia de San Juan
22023,Almuniente,Huesca,Almuniente
18017,Almuñécar,Granada,Almuñécar
13016,Almuradiel,Ciudad Real,Almuradiel
46035,Almussafes,Valencia,Almussafes
44019,Alobras,Teruel,Alobras
19023,Alocén,Guadalajara,Alocén
48912,Alonsotegi,Bizkaia,Alonsotegi
29012,Álora,Málaga,Álora
25022,Alòs de Balaguer,Lleida,Alòs de Balaguer
21006,Alosno,Huelva,Alosno
19024,Alovera,Guadalajara,Alovera
29013,Alozaina,Málaga,Alozaina
17006,Alp,Girona,Alp
29014,Alpandeire,Málaga,Alpandeire
42023,Alpanseque,Soria,Alpanseque
50026,Alpartir,Zaragoza,Alpartir
28010,Alpedrete,Madrid,Alpedrete
08004,Alpens,Barcelona,Alpens
44020,Alpeñés,Teruel,Alpeñés
02010,Alpera,Albacete,Alpera
25023,Alpicat,Lleida,Alpicat
46036,Alpuente,Valencia,Alpuente
18904,Alpujarra de la Sierra,Granada,Alpujarra de la Sierra
03017,Alqueria d'Asnar (L'),Alicante,L' Alqueria d'Asnar
46037,Alqueria de la Comtessa (L'),Valencia,L' Alqueria de la Comtessa
12901,Alqueries (Les)/Alquerías del Niño Perdido,Castellón,Les Alqueries/Alquerías del Niño Perdido
22024,Alquézar,Huesca,Alquézar
18018,Alquife,Granada,Alquife
04015,Alsodux,Almería,Alsodux
25024,Alt Àneu,Lleida,Alt Àneu
09013,Altable,Burgos,Altable
43012,Altafulla,Tarragona,Altafulla
16019,Altarejos,Cuenca,Altarejos
03018,Altea,Alicante,Altea
22025,Altorricón,Huesca,Altorricón
09014,Altos (Los),Burgos,Los Altos
31010,Altsasu/Alsasua,Navarra,Altsasu/Alsasua
12012,Altura,Castellón,Altura
20906,Altzaga,Gipuzkoa,Altzaga
20007,Altzo,Gipuzkoa,Altzo
19027,Alustante,Guadalajara,Alustante
46017,Alzira,Valencia,Alzira
05012,Amavida,Ávila,Amavida
34009,Amayuelas de Arriba,Palencia,Amayuelas de Arriba
50027,Ambel,Zaragoza,Ambel
28011,Ambite,Madrid,Ambite
17007,Amer,Girona,Amer
15002,Ames,A Coruña,Ames
31013,Améscoa Baja,Navarra,Améscoa Baja
43013,Ametlla de Mar (L'),Tarragona,L' Ametlla de Mar
08005,Ametlla del Vallès (L'),Barcelona,L' Ametlla del Vallès
09016,Ameyugo,Burgos,Ameyugo
20008,Amezketa,Gipuzkoa,Amezketa
33003,Amieva,Asturias,Amieva
32002,Amoeiro,Ourense,Amoeiro
48003,Amorebieta-Etxano,Bizkaia,Amorebieta-Etxano
48004,Amoroto,Bizkaia,Amoroto
43906,Ampolla (L'),Tarragona,L' Ampolla
43014,Amposta,Tarragona,Amposta
34010,Ampudia,Palencia,Ampudia
39002,Ampuero,Cantabria,Ampuero
01002,Amurrio,Álava,Amurrio
34011,Amusco,Palencia,Amusco
47009,Amusquillo,Valladolid,Amusquillo
44024,Anadón,Teruel,Anadón
40017,Anaya,Segovia,Anaya
