municipio,provincia,municipio_nombre_humano,codigo_ine,linea_costa_provincia,linea_montana_provincia
Alhabia,Almería,Alhabia,04010,1,2
Alhama de Almería,Almería,Alhama de Almería,04011,1,2
Alhama de Aragón,Zaragoza,Alhama de Aragón,50020,2,1
Alhama de Granada,Granada,Alhama de Granada,18013,1,1
Alhama de Murcia,Murcia,Alhama de Murcia,30008,1,2
Alhambra,Ciudad Real,Alhambra,13010,3,2
Alhaurín de la Torre,Málaga,Alhaurín de la Torre,29007,1,2
Alhaurín el Grande,Málaga,Alhaurín el Grande,29008,1,2
Alhendín,Granada,Alhendín,18014,1,1
Alhóndiga,Guadalajara,Alhóndiga,19018,0,1
Alía,Cáceres,Alía,10017,0,3
Aliaga,Teruel,Aliaga,44017,2,1
Aliaguilla,Cuenca,Aliaguilla,16014,2,2
Alicante/Alacant,Alicante,Alicante/Alacant,03014,1,3
Alicún,Almería,Alicún,04012,1,2
Alicún de Ortega,Granada,Alicún de Ortega,18015,1,1
Alija del Infantado,León,Alija del Infantado,24003,2,1
Alins,Lleida,Alins,25017,2,1
Alió,Tarragona,Alió,43010,1,2
Alique,Guadalajara,Alique,19019,0,1
Aliseda,Cáceres,Aliseda,10018,0,3
Aliud,Soria,Aliud,42016,3,1
Aljaraque,Huelva,Aljaraque,21002,1,0
Aljucén,Badajoz,Aljucén,06009,3,0
Alkiza,Gipuzkoa,Alkiza,20006,1,2
Allande,Asturias,Allande,33001,1,1
Allariz,Ourense,Allariz,32001,2,2
Allepuz,Teruel,Allepuz,44021,2,1
Aller,Asturias,Aller,33002,1,1
Allín/Allin,Navarra,Allín/Allin,31011,2,2
Allo,Navarra,Allo,31012,2,2
Alloza,Teruel,Alloza,44022,2,1
Allueva,Teruel,Allueva,44023,2,1
Almacelles,Lleida,Almacelles,25019,2,1
Almáchar,Málaga,Almáchar,29009,1,2
Almadén,Ciudad Real,Almadén,13011,3,2
Almadén de la Plata,Sevilla,Almadén de la Plata,41009,2,0
Almadenejos,Ciudad Real,Almadenejos,13012,3,2
Almadrones,Guadalajara,Almadrones,19020,0,1
Almagro,Ciudad Real,Almagro,13013,3,2
Almajano,Soria,Almajano,42017,3,1
Almaluez,Soria,Almaluez,42018,3,1
Almansa,Albacete,Almansa,02009,2,2
Almanza,León,Almanza,24004,2,1
Almaraz,Cáceres,Almaraz,10019,0,3
Almaraz de Duero,Zamora,Almaraz de Duero,49007,3,2
Almarcha (La),Cuenca,La Almarcha,16015,2,2
Almargen,Málaga,Almargen,29010,1,2
Almarza,Soria,Almarza,42019,3,1
Almarza de Cameros,La Rioja,Almarza de Cameros,26012,2,2
Almàssera,Valencia,Almàssera,46032,1,0
Almassora,Castellón,Almassora,12009,1,2
Almatret,Lleida,Almatret,25020,2,1
Almazán,Soria,Almazán,42020,3,1
Almazul,Soria,Almazul,42021,3,1
Almedíjar,Castellón,Almedíjar,12010,1,2
Almedina,Ciudad Real,Almedina,13014,3,2
Almedinilla,Córdoba,Almedinilla,14004,2,2
Almegíjar,Granada,Almegíjar,18016,1,1
Almeida de Sayago,Zamora,Almeida de Sayago,49008,3,2
Almenar,Lleida,Almenar,25021,2,1
Almenar de Soria,Soria,Almenar de Soria,42022,3,1
Almenara,Castellón,Almenara,12011,1,2
Almenara de Adaja,Valladolid,Almenara de Adaja,47008,3,0
Almenara de Tormes,Salamanca,Almenara de Tormes,37027,0,2
Almendra,Salamanca,Almendra,37028,0,2
Almendral,Badajoz,Almendral,06010,3,0
Almendral de la Cañada,Toledo,Almendral de la Cañada,45011,0,2
Almendralejo,Badajoz,Almendralejo,06011,3,0
Almendro (El),Huelva,El Almendro,21003,1,0
Almendros,Cuenca,Almendros,16016,2,2
Almensilla,Sevilla,Almensilla,41010,2,0
Almería,Almería,Almería,04013,1,2
Almiserà,Valencia,Almiserà,46033,1,0
Almochuel,Zaragoza,Almochuel,50021,2,1
Almócita,Almería,Almócita,04014,1,2
