municipio,provincia,municipio_nombre_humano,lat,lon
Carrera (La),Ávila,La Carrera,40.45594,-5.42654
Casas del Puerto,Ávila,Casas del Puerto,40.531848,-5.180026
Casasola,Ávila,Casasola,40.665588,-4.820289
Casavieja,Ávila,Casavieja,40.280552,-4.765836
Casillas,Ávila,Casillas,40.3261,-4.57182
Castellanos de Zapardiel,Ávila,Castellanos de Zapardiel,41.0845,-4.90984
Cebreros,Ávila,Cebreros,40.45523,-4.463885
Cepeda la Mora,Ávila,Cepeda la Mora,40.4578,-5.04833
Chamartín,Ávila,Chamartín,40.70267,-4.95769
Cillán,Ávila,Cillán,40.70675,-4.98135
Cisla,Ávila,Cisla,40.96662,-5.01406
Colilla (La),Ávila,La Colilla,40.644661,-4.760599
Collado de Contreras,Ávila,Collado de Contreras,40.88743,-4.9314
Collado del Mirón,Ávila,Collado del Mirón,40.55307,-5.35398
Constanzana,Ávila,Constanzana,40.93821,-4.87515
Crespos,Ávila,Crespos,40.870953,-4.970757
Cuevas del Valle,Ávila,Cuevas del Valle,40.29418,-5.00938
Diego del Carpio,Ávila,Diego del Carpio,40.666303,-5.33158
Donjimeno,Ávila,Donjimeno,40.95978,-4.84627
Donvidas,Ávila,Donvidas,41.08954,-4.80634
Espinosa de los Caballeros,Ávila,Espinosa de los Caballeros,41.0087,-4.6537
Flores de Ávila,Ávila,Flores de Ávila,40.93358,-5.07914
Fontiveros,Ávila,Fontiveros,40.930535,-4.965307
Fresnedilla,Ávila,Fresnedilla,40.23233,-4.62201
Fresno (El),Ávila,El Fresno,40.61572,-4.75746
Fuente el Saúz,Ávila,Fuente el Saúz,40.97771,-4.90825
Fuentes de Año,Ávila,Fuentes de Año,41.01769,-4.89908
Gallegos de Altamiros,Ávila,Gallegos de Altamiros,40.70634,-4.90643
Gallegos de Sobrinos,Ávila,Gallegos de Sobrinos,40.71693,-5.11224
Garganta del Villar,Ávila,Garganta del Villar,40.44965,-5.1042
Gavilanes,Ávila,Gavilanes,40.27791,-4.85321
Gemuño,Ávila,Gemuño,40.59159,-4.78178
Gil García,Ávila,Gil García,40.28104,-5.592565
Gilbuena,Ávila,Gilbuena,40.42206,-5.59201
