municipio,provincia,municipio_nombre_humano,lat,lon,top_3_sitios,sitio_mas_frecuente
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,38.360892,-0.486281,commercial;catering;sport,commercial
Sanet y Negrals,Alicante,Sanet y Negrals,38.81967,-0.03406,sport;access_limited;access,sport
Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant,38.400609,-0.434204,commercial;catering;sport,commercial
Santa Pola,Alicante,Santa Pola,38.194063,-0.554262,leisure;commercial;catering,leisure
Sax,Alicante,Sax,38.534929,-0.820677,commercial;leisure;catering,commercial
Sella,Alicante,Sella,38.808107,0.053144,sport;commercial,sport
Senija,Alicante,Senija,38.72804,0.04176,sport;catering;access_limited,sport
Tàrbena,Alicante,Tàrbena,38.69413,-0.10141,sport;access_limited;catering,sport
Teulada,Alicante,Teulada,38.729169,0.10546,sport;service;catering,sport
Tibi,Alicante,Tibi,38.53353,-0.576694,sport;leisure;catering,sport
Tollos,Alicante,Tollos,38.75629,-0.27466,natural;sport;leisure,natural
Tormos,Alicante,Tormos,38.80143,-0.0716,sport;building;leisure,sport
Torremanzanas/Torre de les Maçanes (La),Alicante,La Torremanzanas/Torre de les Maçanes,38.604168,-0.415178,natural;commercial;sport,natural
Torrevieja,Alicante,Torrevieja,37.985608,-0.673845,leisure;sport;access_limited,leisure
Vall d'Alcalà (La),Alicante,La Vall d'Alcalà,38.79477,-0.25138,natural;building;sport,natural
Vall de Gallinera,Alicante,Vall de Gallinera,38.82313,-0.2417,natural;tourism;sport,natural
Vall de Laguar (La),Alicante,La Vall de Laguar,38.781025,-0.124025,sport;natural;catering,sport
Vall d'Ebo (La),Alicante,La Vall d'Ebo,38.80561,-0.1589,natural;catering;accommodation,natural
Verger (El),Alicante,El Verger,38.856576,0.013177,access_limited;sport;natural,access_limited
Villajoyosa/Vila Joiosa (La),Alicante,La Villajoyosa/Vila Joiosa,38.508793,-0.231359,catering;leisure;commercial,catering
Villena,Alicante,Villena,38.634512,-0.864459,leisure;commercial;sport,leisure
Xaló,Alicante,Xaló,38.739807,-0.01167,building;sport;service,building
Abla,Almería,Abla,37.141895,-2.778084,commercial;service;catering,commercial
Abrucena,Almería,Abrucena,37.133457,-2.796909,natural;sport;tourism,natural
Adra,Almería,Adra,36.748564,-3.017817,commercial;sport;service,commercial
Albanchez,Almería,Albanchez,37.28361,-2.18229,natural;sport;leisure,natural
Alboloduy,Almería,Alboloduy,37.03346,-2.62164,natural;catering;accommodation,natural
Albox,Almería,Albox,37.390608,-2.14149,leisure;sport;tourism,leisure
Alcolea,Almería,Alcolea,36.97458,-2.9615,sport;access_limited;natural,sport
Alcóntar,Almería,Alcóntar,37.257894,-2.606439,natural;tourism;accommodation,natural
Alcudia de Monteagud,Almería,Alcudia de Monteagud,37.23529,-2.2665,leisure;service;sport,leisure
Alhabia,Almería,Alhabia,36.99003,-2.58655,building;leisure;commercial,building
Alhama de Almería,Almería,Alhama de Almería,36.957334,-2.568298,natural;sport;leisure,natural
Alicún,Almería,Alicún,36.9658,-2.60212,natural;sport;activity,natural
Almería,Almería,Almería,36.844845,-2.456009,leisure;natural;sport,leisure
Almócita,Almería,Almócita,37.00262,-2.79051,sport;leisure;natural,sport
Alsodux,Almería,Alsodux,37.00246,-2.59476,natural;sport;leisure,natural
Antas,Almería,Antas,37.251074,-1.912721,natural;leisure;sport,natural
Arboleas,Almería,Arboleas,37.351749,-2.07427,natural;building;service,natural
Armuña de Almanzora,Almería,Armuña de Almanzora,37.3503,-2.4115,sport;natural;catering,sport
Bacares,Almería,Bacares,37.25984,-2.45308,natural;sport;tourism,natural
Balanegra,Almería,Balanegra,36.748857,-2.913608,leisure;catering;building,leisure
Bayárcal,Almería,Bayárcal,37.03073,-2.99606,natural;catering;service,natural
Bayarque,Almería,Bayarque,37.33062,-2.4361,tourism;sport;natural,tourism
Bédar,Almería,Bédar,37.19389,-1.98166,access_limited;catering;sport,access_limited
Beires,Almería,Beires,37.01237,-2.79134,sport;natural;leisure,sport
Benahadux,Almería,Benahadux,36.927292,-2.460343,natural;leisure;service,natural
Benitagla,Almería,Benitagla,37.23138,-2.23935,sport;service;leisure,sport
Benizalón,Almería,Benizalón,37.21213,-2.2418,natural;sport;service,natural
Bentarique,Almería,Bentarique,36.98823,-2.61991,natural;sport;building,natural
Berja,Almería,Berja,36.844738,-2.94636,leisure;service;sport,leisure
Canjáyar,Almería,Canjáyar,37.00985,-2.740139,natural;sport;service,natural
Cantoria,Almería,Cantoria,37.351722,-2.193388,building;leisure;sport,building
Carboneras,Almería,Carboneras,36.999559,-1.893074,service;catering;commercial,service
Castro de Filabres,Almería,Castro de Filabres,37.18484,-2.44024,accommodation;access_limited;leisure,accommodation
Chercos,Almería,Chercos,37.2545,-2.26657,natural;service;leisure,natural
Chirivel,Almería,Chirivel,37.596309,-2.271043,natural;sport;service,natural
