municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon
Valdepolo,León,Valdepolo,24180,42.576792,-5.262841
Valdeprado,Soria,Valdeprado,42196,41.93768,-2.10915
Valdeprado del Río,Cantabria,Valdeprado del Río,39093,42.87136,-4.08836
Valdeprados,Segovia,Valdeprados,40211,40.81766,-4.25734
Valderas,León,Valderas,24181,42.076497,-5.443631
Valderrábano,Palencia,Valderrábano,34190,42.60674,-4.65584
Valderrebollo,Guadalajara,Valderrebollo,19306,40.81035,-2.72887
Valderredible,Cantabria,Valderredible,39094,42.827996,-3.953115
Valderrey,León,Valderrey,24182,42.39408,-6.02151
Valderrobres,Teruel,Valderrobres,44246,40.873317,0.154219
Valderrodilla,Soria,Valderrodilla,42197,41.56346,-2.80777
Valderrodrigo,Salamanca,Valderrodrigo,37337,41.06524,-6.50878
Valderrubio,Granada,Valderrubio,18914,37.234186,-3.820278
Valderrueda,León,Valderrueda,24183,42.847796,-4.960578
Valdés,Asturias,Valdés,33034,43.499596,-6.451294
Valdesamario,León,Valdesamario,24184,42.72094,-5.95104
Valdescorriel,Zamora,Valdescorriel,49229,42.02233,-5.50998
Valdesotos,Guadalajara,Valdesotos,19307,40.95546,-3.32542
Valdestillas,Valladolid,Valdestillas,47182,41.475795,-4.770868
Valdetorres,Badajoz,Valdetorres,6138,38.915545,-6.068961
Valdetorres de Jarama,Madrid,Valdetorres de Jarama,28164,40.694718,-3.513689
Valdetórtola,Cuenca,Valdetórtola,16902,39.93294,-2.17869
Valdevacas de Montejo,Segovia,Valdevacas de Montejo,40212,41.52068,-3.63572
Valdevacas y Guijar,Segovia,Valdevacas y Guijar,40213,41.13612,-3.91146
Valdeverdeja,Toledo,Valdeverdeja,45179,39.796474,-5.246336
Valdevimbre,León,Valdevimbre,24187,42.41959,-5.61975
Valdezate,Burgos,Valdezate,9405,41.60232,-3.93045
Valdilecha,Madrid,Valdilecha,28165,40.295604,-3.30195
Valdorros,Burgos,Valdorros,9406,42.170454,-3.723172
Valdoviño,A Coruña,Valdoviño,15087,43.596977,-8.13321
Valdunciel,Salamanca,Valdunciel,37338,41.144187,-5.7017
Valdunquillo,Valladolid,Valdunquillo,47183,42.04232,-5.31339
Valencia,Valencia,Valencia,46250,39.464773,-0.363258
Valencia de Alcántara,Cáceres,Valencia de Alcántara,10203,39.409938,-7.245231
Valencia de Don Juan,León,Valencia de Don Juan,24188,42.29456,-5.517597
Valencia de las Torres,Badajoz,Valencia de las Torres,6139,38.40454,-6.003675
Valencia del Mombuey,Badajoz,Valencia del Mombuey,6140,38.242046,-7.119303
Valencia del Ventoso,Badajoz,Valencia del Ventoso,6141,38.26603,-6.47387
Valencina de la Concepción,Sevilla,Valencina de la Concepción,41096,37.414515,-6.07505
Valenzuela,Córdoba,Valenzuela,14063,37.774989,-4.221032
Valenzuela de Calatrava,Ciudad Real,Valenzuela de Calatrava,13088,38.852572,-3.773314
Valeras (Las),Cuenca,Las Valeras,16903,39.772155,-2.145857
Valero,Salamanca,Valero,37339,40.53533,-5.94307
Valfarta,Huesca,Valfarta,22242,41.55726,-0.13304
Valfermoso de Tajuña,Guadalajara,Valfermoso de Tajuña,19308,40.61902,-2.95407
Valga,Pontevedra,Valga,36056,42.69792,-8.63959
Valgañón,La Rioja,Valgañón,26162,42.31782,-3.06725
Valhermoso,Guadalajara,Valhermoso,19309,40.7859,-1.96121
Valhermoso de la Fuente,Cuenca,Valhermoso de la Fuente,16231,39.56667,-2.01667
Valjunquera,Teruel,Valjunquera,44247,40.9525,0.02575
Vall d'Alba,Castellón,Vall d'Alba,12124,40.175908,-0.035251
Vall d'Alcalà (la),Alicante,la Vall d'Alcalà,3134,38.79477,-0.25138
Vall d'Ebo (la),Alicante,la Vall d'Ebo,3135,38.80561,-0.1589
Vall d'en Bas (La),Girona,La Vall d'en Bas,17207,42.26667,2.46667
Vall d'Uixó (la),Castellón,la Vall d'Uixó,12126,39.824012,-0.233628
Vall de Almonacid,Castellón,Vall de Almonacid,12125,39.9,-0.45
Vall de Bianya (La),Girona,La Vall de Bianya,17208,42.241645,2.433019
Vall de Boí (La),Lleida,La Vall de Boí,25043,42.50368,0.80415
Vall de Cardós,Lleida,Vall de Cardós,25901,42.59409,1.21745
Vall de Gallinera,Alicante,Vall de Gallinera,3136,38.82313,-0.2417
Vall de Laguar (la),Alicante,la Vall de Laguar,3137,38.781025,-0.124025
Vall-llobrega,Girona,Vall-llobrega,17209,41.88055,3.12641
Vallada,Valencia,Vallada,46251,38.896838,-0.690273
Valladolid,Valladolid,Valladolid,47186,41.639588,-4.735301
Vallanca,Valencia,Vallanca,46252,40.06667,-1.33333
Vallarta de Bureba,Burgos,Vallarta de Bureba,9408,42.58864,-3.20457
Vallat,Castellón,Vallat,12123,40.0362,-0.33666
Vallbona d'Anoia,Barcelona,Vallbona d'Anoia,8292,41.518461,1.707702
Vallbona de les Monges,Lleida,Vallbona de les Monges,25238,41.52631,1.08872
Vallcebre,Barcelona,Vallcebre,8293,42.20347,1.81816
Vallclara,Tarragona,Vallclara,43158,41.37958,0.98342
Valldemossa,Illes Balears,Valldemossa,7063,39.710098,2.625143
Valle (El),Granada,El Valle,18902,36.924469,-3.588122
Valle de Abdalajís,Málaga,Valle de Abdalajís,29093,36.931358,-4.682461
Valle de Altomira (El),Cuenca,El Valle de Altomira,16173,40.242684,-2.762783
Valle de Bardají,Huesca,Valle de Bardají,22243,42.42733,0.46714
Valle de Cerrato,Palencia,Valle de Cerrato,34196,41.88044,-4.36243
Valle de Egüés/Eguesibar,Navarra,Valle de Egüés/Eguesibar,31086,42.8125,-1.597462
Valle de Hecho,Huesca,Valle de Hecho,22901,42.73437,-0.736072
Valle de la Serena,Badajoz,Valle de la Serena,6146,38.702375,-5.798414
Valle de las Navas,Burgos,Valle de las Navas,9904,42.468059,-3.578369
Valle de Lierp,Huesca,Valle de Lierp,22244,42.384335,0.490372
Valle de Losa,Burgos,Valle de Losa,9908,42.993245,-3.247164
Valle de Manzanedo,Burgos,Valle de Manzanedo,9409,42.89818,-3.71242
Valle de Matamoros,Badajoz,Valle de Matamoros,6147,38.37889,-6.80371
Valle de Mena,Burgos,Valle de Mena,9410,43.08464,-3.30194
Valle de Oca,Burgos,Valle de Oca,9411,42.445,-3.323543
Valle de Ollo/Ollaran,Navarra,Valle de Ollo/Ollaran,31194,42.86667,-1.85
Valle de Santa Ana,Badajoz,Valle de Santa Ana,6148,38.363528,-6.787644
Valle de Santibáñez,Burgos,Valle de Santibáñez,9902,42.47735,-3.81911
Valle de Sedano,Burgos,Valle de Sedano,9905,42.72837,-3.76035
Valle de Tabladillo,Segovia,Valle de Tabladillo,40218,41.36304,-3.83966
Valle de Tobalina,Burgos,Valle de Tobalina,9412,42.77494,-3.203113
